City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
573,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
578,Coxim,BR,76.15,broken clouds,-18.5067,-54.76,Hotel Avenida
579,Taree,AU,77.0,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
581,Tocopilla,CL,67.6,broken clouds,-22.092,-70.1979,Hotel Galvarino
585,Bubaque,GW,77.88,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
587,Zvishavane,ZW,72.81,broken clouds,-20.3267,30.0665,Hotel Boutique Runde
590,Ilo,PE,69.42,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
603,Alto Longa,BR,74.25,overcast clouds,-5.2511,-42.2103,pousada E Restaurante Longá
607,Nong Kung Si,TH,78.01,clear sky,16.65,103.3,บ้าน พี่บิ๊ก
613,Yenagoa,NG,75.33,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
615,Mizan Teferi,ET,73.56,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
619,Noumea,NC,73.4,light rain,-22.2763,166.4572,Hôtel Le Lagon
620,Jardim,BR,74.88,broken clouds,-21.4803,-56.1381,Hotel Estância
624,Altamira,BR,71.37,overcast clouds,-3.2033,-52.2064,Requinte Hotel
626,Alta Floresta,BR,71.31,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
631,Yamoussoukro,CI,77.0,broken clouds,6.8206,-5.2767,Residence Heaven
639,Taunggyi,MM,76.33,broken clouds,20.7833,97.0333,True Treasure Hotel
645,Grand-Lahou,CI,78.01,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
647,Cantaura,VE,73.38,light rain,9.3057,-64.3584,Hotel Lorenzana
660,Carutapera,BR,78.12,overcast clouds,-1.195,-46.02,Lidera
661,Kuruman,ZA,77.07,scattered clouds,-27.4524,23.4325,Cornerstone Guest House
664,Parrita,CR,68.0,few clouds,9.5201,-84.3225,Beso del Viento
667,Inirida,CO,72.16,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
674,Takoradi,GH,78.1,clear sky,4.8845,-1.7554,Raybow International Hotel
675,Sulangan,PH,78.93,overcast clouds,11.1373,123.7228,Maia's Beach Resort
