City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Longyearbyen,SJ,2021-01-09 18:20:22,78.2186,15.6401,23.0,80,75,23.02
146,Basoko,CD,2021-01-09 18:20:22,1.2391,23.616,78.08,67,11,1.61
147,Kavaratti,IN,2021-01-09 18:20:22,10.5669,72.642,82.44,75,100,6.76
148,Shingu,JP,2021-01-09 18:20:22,33.7333,135.9833,32.4,89,2,12.53
149,Kokopo,PG,2021-01-09 18:20:23,-4.352,152.2633,77.04,84,54,3.65
150,Hilo,US,2021-01-09 18:17:23,19.7297,-155.09,71.6,78,90,4.61
151,Talnakh,RU,2021-01-09 18:20:23,69.4865,88.3972,-25.38,84,36,0.65
152,Belaya Gora,RU,2021-01-09 18:20:23,68.5333,146.4167,-19.32,88,100,4.43
153,Saint Andrews,US,2021-01-09 18:20:24,34.0454,-81.1293,50.0,61,40,4.65
154,Arlit,NE,2021-01-09 18:20:24,18.7369,7.3853,82.72,13,5,8.43
155,Campbell River,CA,2021-01-09 18:20:24,50.0163,-125.2446,42.01,93,75,8.05
156,Gorontalo,ID,2021-01-09 18:20:25,0.5412,123.0595,75.4,89,10,3.06
157,Miles City,US,2021-01-09 18:20:25,46.4083,-105.8406,28.4,93,90,1.68
158,Kjopsvik,NO,2021-01-09 18:20:25,68.097,16.3742,30.99,54,79,19.57
159,Bengkulu,ID,2021-01-09 18:20:25,-3.8004,102.2655,75.33,87,100,5.73
160,Barda,AZ,2021-01-09 18:20:26,40.3744,47.1267,32.0,86,21,4.61
161,Guerrero Negro,MX,2021-01-09 18:20:26,27.9769,-114.0611,65.84,54,0,3.09
162,Provideniya,RU,2021-01-09 18:20:26,64.3833,-173.3,-7.35,84,2,7.31
163,Labuan,MY,2021-01-09 18:20:26,5.2767,115.2417,75.2,94,20,17.49
164,Gualeguay,AR,2021-01-09 18:20:27,-33.1416,-59.3097,95.13,19,99,5.01
165,Lebu,CL,2021-01-09 18:20:27,-37.6167,-73.65,60.49,59,53,9.44
166,Alofi,NU,2021-01-09 18:20:27,-19.0595,-169.9187,77.0,94,18,6.91
167,Killin,US,2021-01-09 18:20:27,33.6123,-91.7412,41.0,52,75,5.75
168,Glendive,US,2021-01-09 18:20:28,47.1053,-104.7125,28.0,100,90,1.61
169,Tagusao,PH,2021-01-09 18:20:28,9.1924,117.8141,79.61,82,99,8.23
170,Mount Gambier,AU,2021-01-09 18:20:28,-37.8333,140.7667,53.6,94,75,4.23
171,Boca De Parita,PA,2021-01-09 18:20:28,8.0167,-80.45,84.2,65,40,12.66
172,Reguengos De Monsaraz,PT,2021-01-09 18:20:29,38.4253,-7.5349,36.0,93,90,8.05
173,Hasaki,JP,2021-01-09 18:20:29,35.7333,140.8333,24.8,73,20,4.61
174,Shimanovsk,RU,2021-01-09 18:20:29,52.0,127.7,-16.47,86,9,3.89
175,Santa Cruz,BO,2021-01-09 18:15:32,-17.8,-63.1667,91.4,55,75,17.27
176,Oksfjord,NO,2021-01-09 18:20:30,70.2396,22.3479,21.2,67,29,12.66
177,Ereymentau,KZ,2021-01-09 18:20:30,51.6199,73.1033,5.05,86,100,21.81
178,Yar-Sale,RU,2021-01-09 18:20:30,66.8333,70.8333,-9.87,90,93,11.81
179,Shemonaikha,KZ,2021-01-09 18:16:30,50.6328,81.9056,0.52,86,95,9.62
180,Muravlenko,RU,2021-01-09 18:20:31,63.7898,74.523,-18.81,89,93,5.59
181,Namibe,AO,2021-01-09 18:20:31,-15.1961,12.1522,72.5,71,99,10.25
182,Soe,ID,2021-01-09 18:20:31,-9.8607,124.284,68.95,98,100,2.48
183,Paita,PE,2021-01-09 18:20:32,-5.0892,-81.1144,87.8,58,0,13.8
184,Arraial Do Cabo,BR,2021-01-09 18:17:37,-22.9661,-42.0278,87.8,70,20,11.5
185,Ajdabiya,LY,2021-01-09 18:20:32,30.7554,20.2263,71.8,28,0,7.38
186,Upernavik,GL,2021-01-09 18:20:33,72.7868,-56.1549,9.77,82,27,11.23
187,Awjilah,LY,2021-01-09 18:20:33,29.1081,21.2869,68.02,31,0,8.19
188,Olafsvik,IS,2021-01-09 18:20:34,64.8945,-23.7142,28.98,88,95,12.26
189,Prado,BR,2021-01-09 18:20:34,-17.3411,-39.2208,82.78,70,9,15.37
190,Praia Da Vitoria,PT,2021-01-09 18:20:34,38.7333,-27.0667,57.99,72,20,4.14
191,Saint-Philippe,RE,2021-01-09 18:20:34,-21.3585,55.7679,78.8,83,90,16.11
192,Sambava,MG,2021-01-09 18:20:35,-14.2667,50.1667,78.51,72,23,1.97
193,Zhigansk,RU,2021-01-09 18:20:35,66.7697,123.3711,-27.4,85,100,3.04
194,Bitung,ID,2021-01-09 18:20:35,1.4451,125.1824,75.2,94,20,4.61
195,Nanyang,CN,2021-01-09 18:20:35,32.9947,112.5328,31.44,69,100,1.57
196,Mandera,KE,2021-01-09 18:20:36,3.9366,41.867,84.16,25,3,8.7
197,Rio Grande,BR,2021-01-09 18:17:35,-32.035,-52.0986,86.0,62,40,23.02
198,Waipawa,NZ,2021-01-09 18:20:36,-41.4122,175.5153,62.6,77,90,11.5
199,Lagos,NG,2021-01-09 18:20:36,6.5833,3.75,86.0,70,20,12.66
200,Morondava,MG,2021-01-09 18:20:37,-20.2833,44.2833,83.61,72,62,6.55
201,Raga,SS,2021-01-09 18:20:37,8.4596,25.678,75.25,23,67,3.22
202,Cherskiy,RU,2021-01-09 18:20:37,68.75,161.3,-29.83,85,30,2.42
203,Lodwar,KE,2021-01-09 18:20:37,3.1191,35.5973,90.23,21,84,6.87
204,Glenwood Springs,US,2021-01-09 18:20:37,39.5505,-107.3248,27.0,62,40,4.61
205,Marsa Matruh,EG,2021-01-09 18:20:38,31.3525,27.2453,62.6,67,0,4.61
206,Alyangula,AU,2021-01-09 18:20:38,-13.8483,136.4192,78.8,100,93,3.44
207,Grindavik,IS,2021-01-09 18:20:38,63.8424,-22.4338,24.8,93,90,4.61
208,San Cristobal,VE,2021-01-09 18:20:38,7.7669,-72.225,80.6,69,40,2.3
209,Lasa,IT,2021-01-09 18:20:39,46.6166,10.7002,23.0,62,0,5.75
210,Maumere,ID,2021-01-09 18:20:39,-8.6199,122.2111,80.83,78,88,1.32
211,Marfino,RU,2021-01-09 18:20:39,55.7028,37.3822,21.99,86,90,8.95
212,Dikson,RU,2021-01-09 18:20:39,73.5069,80.5464,-8.39,83,44,2.93
213,Yumen,CN,2021-01-09 18:20:40,40.2833,97.2,10.56,72,91,24.29
214,Narsaq,GL,2021-01-09 18:20:40,60.9167,-46.05,41.0,38,75,25.32
215,Heinola,FI,2021-01-09 18:20:40,61.2056,26.0381,10.4,85,75,4.61
216,Luanda,AO,2021-01-09 18:20:40,-8.8368,13.2343,78.8,78,75,6.91
217,Codrington,AU,2021-01-09 18:20:41,-38.2667,141.9667,56.19,80,93,7.23
218,Melk,AT,2021-01-09 18:20:41,48.2274,15.3319,30.99,2,77,3.22
219,Byron Bay,AU,2021-01-09 18:20:14,-28.65,153.6167,73.0,94,75,6.91
220,Port Blair,IN,2021-01-09 18:20:42,11.6667,92.75,80.15,80,27,11.88
221,Tawang,IN,2021-01-09 18:20:42,27.5833,91.8667,37.17,78,66,1.03
222,Margate,GB,2021-01-09 18:20:42,51.3813,1.3862,36.0,92,4,13.0
223,Storforshei,NO,2021-01-09 18:20:43,66.4043,14.5233,13.08,86,100,8.79
224,Mangrol,IN,2021-01-09 18:20:43,21.1167,70.1167,68.76,53,8,15.93
225,Nadym,RU,2021-01-09 18:20:43,65.5333,72.5167,-8.61,91,84,4.54
226,Xining,CN,2021-01-09 18:20:44,36.6167,101.7667,8.83,77,29,2.21
227,Nemuro,JP,2021-01-09 18:18:22,43.3236,145.575,20.01,86,0,10.13
228,Kamenka,RU,2021-01-09 18:20:44,51.3223,42.7678,32.0,96,100,12.39
229,Salinopolis,BR,2021-01-09 18:20:44,-0.6136,-47.3561,84.97,67,97,11.99
230,Novopokrovka,UA,2021-01-09 18:20:45,49.8425,36.5477,32.0,86,90,11.18
231,Labuhan,ID,2021-01-09 18:20:45,-6.8844,112.2051,77.31,85,100,9.06
232,Ust-Kuyga,RU,2021-01-09 18:20:45,70.0167,135.6,-20.16,85,100,4.56
233,Sawtell,AU,2021-01-09 18:20:46,-30.3833,153.1,64.4,94,75,8.05
234,Port Hawkesbury,CA,2021-01-09 18:20:46,45.6169,-61.3485,33.01,93,90,13.8
235,Starosubkhangulovo,RU,2021-01-09 18:20:46,53.1031,57.4423,18.1,95,100,2.57
236,Kuusamo,FI,2021-01-09 18:20:46,65.9667,29.1833,-0.4,78,96,4.41
237,Pevek,RU,2021-01-09 18:20:46,69.7008,170.3133,-23.08,88,10,1.97
238,Atar,MR,2021-01-09 18:20:47,20.5169,-13.0499,73.49,27,78,13.11
239,Hamilton,US,2021-01-09 18:15:53,39.1834,-84.5333,33.01,64,90,8.05
240,Matagami,CA,2021-01-09 18:20:47,49.7502,-77.6328,21.2,100,90,9.22
241,Zaysan,KZ,2021-01-09 18:20:48,47.4667,84.8667,-2.9,85,0,1.74
242,Viedma,AR,2021-01-09 18:20:48,-40.8135,-62.9967,87.01,14,32,4.0
243,Alice Springs,AU,2021-01-09 18:18:50,-23.7,133.8833,77.0,52,0,3.44
244,Tautira,PF,2021-01-09 18:20:48,-17.7333,-149.15,82.4,69,40,8.05
245,Komsomolskiy,UZ,2021-01-09 18:20:49,40.4272,71.7189,21.2,79,0,4.61
246,Jashpurnagar,IN,2021-01-09 18:20:49,22.9,84.15,64.69,62,19,3.18
247,Leningradskiy,RU,2021-01-09 18:20:49,69.3833,178.4167,-21.59,83,15,3.87
248,Katsuura,JP,2021-01-09 18:20:50,35.1333,140.3,33.8,51,0,5.75
249,Payo,ID,2021-01-09 18:20:50,-3.7508,103.6372,73.13,96,100,1.74
250,Saint-Pierre,RE,2021-01-09 18:20:50,-21.3393,55.4781,78.8,83,90,16.11
251,Miramar,US,2021-01-09 18:20:50,25.9873,-80.2323,66.0,52,1,12.66
252,Hualmay,PE,2021-01-09 18:20:51,-11.0964,-77.6139,76.03,68,44,10.78
253,Lingao,CN,2021-01-09 18:20:51,19.9103,109.6859,56.14,65,98,12.73
254,Broome,US,2021-01-09 18:20:51,42.2506,-75.833,30.99,40,1,18.41
